"TIME","GEO","UNIT","DEG_URB","INCGRP","Value","Flag and Footnotes"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income",":",""
"2009","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income",":",""
"2009","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","29.1",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income",":",""
"2009","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","28.3",""
"2009","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","28.3",""
"2009","Belgium","Percentage","Cities","Below 60% of median equivalised income","32.5",""
"2009","Bulgaria","Percentage","Cities","Below 60% of median equivalised income","39.7","b"
"2009","Czechia","Percentage","Cities","Below 60% of median equivalised income","35.2","b"
"2009","Denmark","Percentage","Cities","Below 60% of median equivalised income","29.0",""
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Cities","Below 60% of median equivalised income","27.9",""
"2009","Estonia","Percentage","Cities","Below 60% of median equivalised income","27.9","b"
"2009","Ireland","Percentage","Cities","Below 60% of median equivalised income","33.1",""
"2009","Greece","Percentage","Cities","Below 60% of median equivalised income","27.8",""
"2009","Spain","Percentage","Cities","Below 60% of median equivalised income","21.6","b"
"2009","France","Percentage","Cities","Below 60% of median equivalised income","30.9",""
"2009","Croatia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2009","Italy","Percentage","Cities","Below 60% of median equivalised income","33.2",""
"2009","Cyprus","Percentage","Cities","Below 60% of median equivalised income","6.8",""
"2009","Latvia","Percentage","Cities","Below 60% of median equivalised income","33.4","b"
"2009","Lithuania","Percentage","Cities","Below 60% of median equivalised income","14.8",""
"2009","Luxembourg","Percentage","Cities","Below 60% of median equivalised income","16.6",""
"2009","Hungary","Percentage","Cities","Below 60% of median equivalised income","27.1",""
"2009","Malta","Percentage","Cities","Below 60% of median equivalised income","12.9",""
"2009","Netherlands","Percentage","Cities","Below 60% of median equivalised income","29.8","b"
"2009","Austria","Percentage","Cities","Below 60% of median equivalised income","21.4",""
"2009","Poland","Percentage","Cities","Below 60% of median equivalised income","22.1",""
"2009","Portugal","Percentage","Cities","Below 60% of median equivalised income","24.7",""
"2009","Romania","Percentage","Cities","Below 60% of median equivalised income","31.4",""
"2009","Slovenia","Percentage","Cities","Below 60% of median equivalised income","26.6","b"
"2009","Slovakia","Percentage","Cities","Below 60% of median equivalised income","18.2","b"
"2009","Finland","Percentage","Cities","Below 60% of median equivalised income","31.0",""
"2009","Sweden","Percentage","Cities","Below 60% of median equivalised income","22.8",""
"2009","United Kingdom","Percentage","Cities","Below 60% of median equivalised income","32.5",""
"2009","Iceland","Percentage","Cities","Below 60% of median equivalised income","7.3",""
"2009","Norway","Percentage","Cities","Below 60% of median equivalised income","8.5",""
"2009","Switzerland","Percentage","Cities","Below 60% of median equivalised income","17.7",""
"2009","North Macedonia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2009","Serbia","Percentage","Cities","Below 60% of median equivalised income",":",""
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Percentage","Cities","Below 60% of median equivalised income",":",""
"2010","European Union - 28 countries","Percentage","Cities","Below 60% of median equivalised income","27.5",""
"2010","European Union - 27 countries (2007-2013)","Percentage","Cities","Below 60% of median equivalised income","27.6",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage","Cities","Below 60% of median equivalised income",":",""
"2010","Euro area (19 countries)","Percentage","Cities","Below 60% of median equivalised income","26.9",""
"2010","Euro area (18 countries)","Percentage","Cities","Below 60% of median equivalised income","27.0",""
"2010","Belgium","Percentage","Cities","Below 60% of median equivalised income","27.4",""
